נושא,הפניה,,נושאים
העברות ותשלומים,ביצעתי העברה של 5000$ לחשבון בחו״ל ועדיין לא הגיע ליעד! מה עושים ?? זה דחוף!,,
העברות ותשלומים,מבקש להספיק במיידי את הוראת הקבע לעריית ראשון לציון.,,
העברות ותשלומים,איך אני פותח הרשאה להוראת קבע לחברת החשמל ? צריך למלא טופס ?,,
ניירות ערך,מה גובה העמלה שאני משלם על קניה ומכירה של ניירות ערך בארץ ובחו״ל ?,,
ניירות ערך,מה זה עמלת אי ביצוע ? והאם אני משלם אותה ?,,
הלוואות ומסגרת חשבון,יש לי חריגה מהמסגרת. אני צריך הגדלה של 20 אלף,,
מטבע חוץ,כמה עמלה אני משלם על המרה של שקלים לאלף דולר?,,
פקדונות וחסכונות,מה הריבית על פקדון שבועי? מתי אני יכול לשבור אותו?,,
נושאים נוספים,האם יש ימי כיף ללקוחות הבנק?,,
משכנתאות,איך מתחילים בתהליך קבלה של אישור עקרוני למשכנתה?,,
ניירות ערך,אני רוצה לקנות ניירות ערך מהבורסה הסינית,,
כרטיסי אשראי,מה הולך להיות החיוב שלי בכרטיס? איך אני דוחה אותו לחודש הבא?,,
אישורים ודוחות,איך אני מקבל תעודת זהות בנקאית,,
העברות ותשלומים,"מבקש להעביר 5000 ש״ח לעיריית תל אביב, חסרה לי הרשאה בחשבון להוראת קבע שלהם",,
עדכון פרטים אישיים והרשאות,"עברתי דירה לרחוב אליהו מאני 4, ירושלים. מבקש לעדכן את הכתובת למשלוח דואר",,
שיקים,"אני רוצה להפקיד צק $160 שקיבלתי מחו״ל, איך?",,
